quote	author
If you want to teach people a new way of thinking, don’t bother trying to teach them. Instead, give them a tool, the use of which will lead to new ways of thinking.	Buckminster Fuller
When I am working on a problem, I never think about beauty…….. but when I have finished, if the solution is not beautiful, I know it is wrong.	Buckminster Fuller
Humans beings always do the most intelligent thing…after they’ve tried every stupid alternative and none of them have worked.	Buckminster Fuller
I just invent, then wait until man comes around to needing what I’ve invented.	Buckminster Fuller
I’m not a genius. I’m just a tremendous bundle of experience.	Buckminster Fuller
There is no such thing as a failed experiment, only experiments with unexpected outcomes.	Buckminster Fuller
Real wealth is ideas plus energy.	Buckminster Fuller
Integrity is the essence of everything successful.	Buckminster Fuller
There is nothing in a caterpillar that tells you it’s going to be a butterfly.	Buckminster Fuller
Controlled time is our true wealth.	Buckminster Fuller
Our power is in our ability to decide.	Buckminster Fuller
Do fewer things, better.	Dharmesh Shah
Hard lesson for first-time tech founders to learn: great product serves its users, not its creators.	Michael E. Driscoll
I am always doing things I can’t do. That’s how I get to do them.	Pablo Picasso
Failure is success in progress.	Albert Einstein
Don’t be too timid and squeamish about your actions. All life is an experiment. The more experiments you make the better.	Ralph Waldo Emerson
Nothing is particularly hard if you divide it into small jobs.	Henry Ford
Most people spend more time and energy going around problems than in trying to solve them.	Henry Ford
Money is like an arm or leg – use it or lose it.	Henry Ford
Obstacles are those frightful things you see when you take your eyes off your goal.	Henry Ford
One of the greatest discoveries a man makes, one of his great surprises, is to find he can do what he was afraid he couldn’t do.	Henry Ford
He can who thinks he can, and he can’t who thinks he can’t. This is an inexorable, indisputable law.	Henry Ford
Quality means doing it right when no one is looking.	Henry Ford
A business absolutely devoted to service will have only one worry about profits. They will be embarrassingly large.	Henry Ford
If there is any one secret of success, it lies in the ability to get the other person’s point of view and see things from that person’s angle as well as from your own.	Henry Ford
The only real mistake is the one from which we learn nothing.	Henry Ford
Anyone who stops learning is old, whether at twenty or eighty.  Anyone who keeps learning stays young.	Henry Ford
Don’t find fault, find a remedy.	Henry Ford
Coming together is a beginning; keeping together is progress; working together is success.	Henry Ford
You can’t build a reputation on what you are going to do.	Henry Ford
Failure is simply the opportunity to begin again, this time more intelligently.	Henry Ford
The short successes that can be gained in a brief time and without difficulty, are not worth much.	Henry Ford
Businesses that grow by development and improvement do not die.	Henry Ford
There is safety in small beginnings and there is unlimited capital in the experience gained by growing.	Henry Ford
Whatever your goal in life, the beginning is knowledge and experience – or, briefly work.	Henry Ford
I don’t know anybody so old he can’t do something useful. Just give them a chance and see.	Henry Ford
The basically simple things are best, whether it’s automobiles or diets or philosophy.	Henry Ford
Competition is the lifeblood of industry.	Henry Ford
A man’s college and university degrees mean nothing to me until I see what he is able to do with them.	Henry Ford
Greatest thing in life is experience. Even mistakes have value.	Henry Ford
The unhappiest man on earth is the one who has nothing to do.	Henry Ford
